DISCIPLINA	ANO	UNIDADES TEMÁTICAS	OBJETOS DE CONHECIMENTO	HABILIDADES	PILAR DE DECOMPOSIÇÃO	PILAR DE RECONHECIMENTO DE PADRÕES	PILAR DE ABSTRAÇÃO	PILAR DE ALGORITMOS	EXPLICAÇÃO
Matemáticas	6° ANO	Geometria	Polígonos: classificações quanto ao número de vértices, às medidas de lados e ângulos e ao paralelismo e perpendicularismo dos lados	(EF06MA18) Identificar características dos triângulos e classificá-los em relação às medidas dos lados e dos ângulos.		X	X		"Ao classificar triângulos, os alunos podem reconhecer padrões e abstrair caracteristicas das medidas dos lados e ângulos. Por exemplo, triângulos equiláteros têm três lados iguais, triângulos isósceles têm dois lados iguais, e triângulos escaleno têm todos os lados diferentes.
"
Matemáticas	6° ANO	Geometria	Polígonos: classificações quanto ao número de vértices, às medidas de lados e ângulos e ao paralelismo e perpendicularismo dos lados	(EF06MA19) Identificar características dos quadriláteros, classificá-los em relação a lados e a ângulos e reconhecer a inclusão e a intersecção de classes entre eles.		X	X		Os alunos precisam reconhecer padrões e abstrair características dos quadriláteros, como ângulos iguais ou lados paralelos, para classificar corretamente as formas e entender a inclusão e intersecção de classes entre elas.
Matemáticas	6° ANO	Geometria	Construção de figuras semelhantes: ampliação e redução de figuras planas em malhas quadriculadas	(EF06MA20) Construir figuras planas semelhantes em situações de ampliação e de redução, com o uso de malhas quadriculadas, plano cartesiano ou tecnologias digitais			X	X	Os alunos precisam focar nas proporções e nos ângulos da figura original, abstraindo-se de detalhes não essenciais para manter a semelhança durante a construção da figura ampliada ou reduzida. Após isso, podem criar algoritmos para redimensionar figuras. Por exemplo, um algoritmo pode incluir passos como medir os lados da figura original, aplicar o fator de escala a cada medida e desenhar a figura resultante em uma malha quadriculada ou plano cartesiano.
Matemáticas	6° ANO	Geometria	Construção de retas paralelas e perpendiculares, fazendo uso de réguas, esquadros e softwares	(EF06MA21) Utilizar instrumentos, como réguas e esquadros, ou softwares para representações de retas paralelas e perpendiculares e construção de quadriláteros, entre outros.	X			X	É necessário fazer construções geométricas precisas, usando algoritmos, e decompondo figuras geométricas em componentes básicos.
Matemáticas	6° ANO	Grandezas e medidas	Problemas sobre medidas envolvendo grandezas como comprimento, massa, tempo, temperatura, área, capacidade e volume	(EF06MA22) Resolver e elaborar problemas que envolvam as grandezas comprimento, massa, tempo, temperatura, área (triângulos e retângulos), capacidade e volume (sólidos formados por blocos retangulares), sem uso de fórmulas, inseridos, sempre que possível, em contextos oriundos de situações reais e/ou relacionadas às outras áreas do conhecimento	X			X	Decompor o problema em partes menores para entender as diferentes grandezas envolvidas (comprimento, massa, tempo, etc.), e desenvolver passos lógicos para resolver problemas envolvendo essas grandezas.
Matemáticas	6° ANO	Grandezas e medidas	Ângulos: noção, usos e medida	(EF06MA23) Reconhecer a abertura do ângulo como grandeza associada às figuras geométricas.			X		Compreender o conceito de abertura do ângulo e sua associação com figuras geométricas.
Matemáticas	6° ANO	Grandezas e medidas	Ângulos: noção, usos e medida	(EF06MA24) Resolver problemas que envolvam a noção de ângulo em diferentes contextos e em situações reais, como ângulo de visão. 	X			X	Decompor problemas complexos em partes menores relacionadas à noção de ângulo e seguir passos específicos para resolver problemas envolvendo ângulos.
Matemáticas	6° ANO	Grandezas e medidas	Ângulos: noção, usos e medida	(EF06MA25) Determinar medidas da abertura de ângulos, por meio de transferidor e/ou tecnologias digitais.				X	Seguir um conjunto de passos para medir ângulos utilizando ferramentas específicas.
Matemáticas	6° ANO	Grandezas e medidas	Plantas baixas de residências	(EF06MA26) Interpretar, descrever e desenhar plantas baixas simples de residências e vistas aéreas.	X	X	X	X	Decompor a planta baixa em componentes menores para facilitar o desenho e a interpretação, identificar padrões comuns em plantas baixas, abstrair detalhes não essenciais para focar nos elementos principais da planta baixa, seguir passos específicos para desenhar e interpretar plantas baixas.
Matemáticas	6° ANO	Grandezas e medidas	Perímetro de um quadrado como grandeza proporcional à medida do lado	(EF06MA27) Analisar e descrever mudanças que ocorrem no perímetro e na área de um quadrado ao se ampliarem ou reduzirem, igualmente, as medidas de seus lados, para compreender que o perímetro é proporcional à medida do lado, o que não ocorre com a área.		X	X		"Reconhecimento de padrões: Identificar como mudanças nas medidas dos lados de um quadrado afetam o perímetro e a área.
Abstração: Compreender a relação proporcional entre o perímetro de um quadrado e a medida do seu lado, ignorando detalhes não essenciais."
Matemáticas	6° ANO	Probabilidade e estatística	"Cálculo de probabilidade como a razão entre o número de resultados favoráveis e o total de resultados possíveis em um espaço amostral equiprovável.
Cálculo de probabilidade por meio de muitas repetições de um experimento (frequências de ocorrências e probabilidade frequentista)."	(EF06MA28) Calcular a probabilidade de um evento aleatório, expressando-a por número racional (forma fracionária, decimal e percentual) e comparar esse número com a probabilidade obtida por meio de experimentos sucessivos.		X	X	X	Compreender e utilizar conceitos de probabilidade, seguir passos específicos para calcular a probabilidade e comparar resultados teóricos com os resultados obtidos de experimentos sucessivos para identificar padrões.
Matemáticas	6° ANO	Probabilidade e estatística	Leitura e interpretação de tabelas e gráficos (de colunas ou barras simples ou múltiplas) referentes a variáveis categóricas e variáveis numéricas.	(EF06MA29) Identificar as variáveis e suas frequências e os elementos constitutivos (título, eixos, legendas, fontes e datas) em diferentes tipos de gráfico.	X	X			"Dividir a tarefa de interpretação de gráficos em partes menores, identificando variáveis, frequências e elementos constitutivos e identificar padrões nos gráficos e nas variáveis representadas.
"
Matemáticas	6° ANO	Probabilidade e estatística	Leitura e interpretação de tabelas e gráficos (de colunas ou barras simples ou múltiplas) referentes a variáveis categóricas e variáveis numéricas.	(EF06MA30) Interpretar e resolver situações que envolvam dados de pesquisas sobre contextos ambientais, sustentabilidade, trânsito, entre outros, apresentadas pela mídia em tabelas e em diferentes tipos de gráficos e redigir textos escritos com o objetivo de sintetizar conclusões.	X	X	X		Dividir a tarefa de interpretação e resolução de problemas em partes menores, identificar padrões nos dados apresentados em tabelas e gráficos, e interpretar dados de pesquisas e sintetizar conclusões, focando nos elementos essenciais.
Matemáticas	6° ANO	Probabilidade e estatística	Coleta de dados, organização, registro construção de diferentes tipos de gráficos para representá-los e interpretação das informações.	(EF06MA31) Planejar e coletar dados de pesquisa referente a práticas sociais escolhidas pelos alunos e fazer uso de planilhas eletrônicas para o registro, representação e interpretação das informações, em tabelas, vários tipos de gráficos e texto	X	X	X	X	Dividir o processo de coleta e organização de dados em etapas menores, identificar padrões nos dados coletados, focar nos aspectos essenciais dos dados e gráficos, e seguir passos específicos para coletar, organizar e interpretar dados.
Matemáticas	7° ANO	Números	Múltiplos e divisores de um número natural.	(EF07MA01) Resolver e elaborar problemas com números naturais, envolvendo as ideias de múltiplos, divisores e divisibilidade.	X	X	X	X	Dividir os problemas em partes menores para entender os conceitos de múltiplos, divisores e divisibilidade, e identificar padrões nos múltiplos e divisores de um número natural.
Matemáticas	7° ANO	Números	Cálculo de porcentagens e de acréscimos e decréscimos simples	(EF07MA02) Resolver e elaborar problemas que envolvam porcentagens, como os que lidam com acréscimos e decréscimos simples, utilizando estratégias pessoais, cálculo mental e calculadora, no contexto de educação financeira, entre outros.	X	X	X	X	Quebrar o problema em etapas menores para calcular porcentagens e alterações de valores, e desenvolver passos lógicos para resolver problemas de porcentagem.
Matemáticas	7° ANO	Números	Números inteiros: usos, história, ordenação, associação com pontos da reta numérica e operações.	(EF07MA03) Comparar e ordenar números inteiros em diferentes contextos, incluindo o histórico, associá-los a pontos da reta numérica e utilizá-los em situações que envolvam adição e subtração.			X	X	Generalizar o conceito de números inteiros e suas operações, e utilizar uma série de passos para ordenar e comparar números inteiros.
Matemáticas	7° ANO	Números	Números inteiros: usos, história, ordenação, associação com pontos da reta numérica e operações.	(EF07MA04) Resolver e elaborar problemas que envolvam operações com números inteiros.	X	X	X	X	Dividir o problema em operações básicas para facilitar a resolução, e desenvolver sequências de passos para realizar operações com números inteiros.
Matemáticas	7° ANO	Números	Fração e seus significados: como parte de inteiros, resultado da divisão, razão e operador.	(EF07MA05) Comparar e ordenar frações associadas às ideias de partes de inteiros, resultado da divisão, razão e operador.		X			Generalizar a noção de fração e seus diferentes significados, e identificar padrões nas frações para compará-las e ordená-las.
Matemáticas	7° ANO	Números	Fração e seus significados: como parte de inteiros, resultado da divisão, razão e operador.	(EF07MA06) Utilizar, na resolução de problemas, a associação entre razão e fração, como a fração 2/3 para expressar a razão de duas partes de uma grandeza para três partes da mesma ou três partes de outra grandeza.			X	X	Generalizar a relação entre razão e fração e desenvolver passos lógicos para utilizar frações na resolução de problemas.
Matemáticas	7° ANO	Números	Números racionais na representação fracionária e na decimal: usos, ordenação e associação com pontos da reta numérica e operaçõe	(EF07MA07) Comparar e ordenar números racionais em diferentes contextos e associá-los a pontos da reta numérica. 		X	X		Generalizar o conceito de números racionais e identificar padrões nos números racionais para compará-los e ordená-los.
Matemáticas	7° ANO	Números	Números racionais na representação fracionária e na decimal: usos, ordenação e associação com pontos da reta numérica e operaçõe	(EF07MA08) Compreender e utilizar a multiplicação e a divisão de números racionais, a relação entre elas e suas propriedades operatórias. 	X			X	Dividir o processo de multiplicação e divisão em etapas menores e desenvolver sequências de passos para realizar operações com números racionais.
Matemáticas	7° ANO	Números	Números racionais na representação fracionária e na decimal: usos, ordenação e associação com pontos da reta numérica e operaçõe	(EF07MA09) Resolver e elaborar problemas que envolvam as operações com números racionais. 	X			X	Dividir o problema em operações básicas e desenvolver passos lógicos para resolver problemas com números racionais.
Matemáticas	7° ANO	Algebra	Linguagem algébrica: variável e incógnita	(EF07MA10) Compreender a ideia de variável, representada por letra ou símbolo, para expressar relação entre duas grandezas, diferenciando-a da ideia de incógnita. 	X		X		Dividir o problema em partes menores para entender a relação entre as grandezas e generalizar o conceito de variável e incógnita.
Matemáticas	7° ANO	Algebra	Linguagem algébrica: variável e incógnita	(EF07MA11) Utilizar a simbologia algébrica para expressar regularidades encontradas em sequências numéricas.		X		X	Desenvolver passos lógicos para expressar regularidades com símbolos algébricos e identificar padrões em sequências numéricas.
Matemáticas	7° ANO	Algebra	Equivalência de expressões algébricas: identificação da regularidade de uma sequência numérica 	(EF07MA12) Reconhecer se duas expressões algébricas obtidas para descrever a regularidade de uma mesma sequência numérica são ou não equivalentes.		X		X	Identificar padrões nas expressões algébricas para determinar equivalências e desenvolver passos lógicos para comparar expressões algébricas.
Matemáticas	7° ANO	Algebra	Problemas envolvendo grandezas diretamente proporcionais e grandezas inversamente proporcionais	(EF07MA13) Resolver e elaborar problemas que envolvam variação de proporcionalidade direta e de proporcionalidade inversa entre duas grandezas, utilizando sentença algébrica para expressar a relação entre elas.	X		X		Dividir o problema em partes menores para entender a relação entre as grandezas e generalizar a noção de proporcionalidade direta e inversa.
Matemáticas	7° ANO	Algebra	Equações polinomiais do 1º grau 	(EF07MA14) Resolver e elaborar problemas que possam ser representados por equações polinomiais de 1º grau, redutíveis à forma ax + b = c, fazendo uso das propriedades da igualdade.	X			X	Dividir o problema em partes menores para resolver equações e desenvolver passos lógicos para resolver equações de 1º grau.
Matemáticas	7° ANO	Geometria	Transformações geométricas de polígonos no plano cartesiano: multiplicação das coordenadas por um número inteiro e obtenção de simétricos em relação aos eixos e à origem	(EF07MA15) Realizar transformações de polígonos representados no plano cartesiano, decorrentes da multiplicação das coordenadas de seus vértices por um número inteiro.	X			X	Dividir a transformação em etapas menores e desenvolver passos lógicos para realizar transformações geométricas.
Matemáticas	7° ANO	Geometria	Transformações geométricas de polígonos no plano cartesiano: multiplicação das coordenadas por um número inteiro e obtenção de simétricos em relação aos eixos e à origem	(EF07MA16) Reconhecer e representar, no plano cartesiano, o simétrico de figuras em relação aos eixos e à origem.		X		X	Identificar padrões nas simetrias de figuras e desenvolver passos lógicos para representar simetrias.
Matemáticas	7° ANO	Geometria	Simetrias de translação, rotação e reflexão	(EF07MA17) Reconhecer e construir figuras obtidas por simetrias de translação, rotação e reflexão, usando instrumentos de desenho ou softwares de geometria dinâmica e vincular esse estudo a representações planas de obras de arte, elementos arquitetônicos, entre outros.			X	X	Generalizar conceitos de simetria e desenvolver passos lógicos para construir figuras simétricas.
Matemáticas	7° ANO	Geometria	A circunferência como lugar geométrico	(EF07MA18) Construir circunferências, utilizando compasso, reconhecê-las como lugar geométrico e utilizá-las para fazer composições artísticas e resolver problemas que envolvam objetos equidistantes.	X			X	Dividir o problema em etapas menores para resolver problemas com circunferências e desenvolver passos lógicos para construir circunferências.
Matemáticas	7° ANO	Geometria	Relações entre os ângulos formados por retas paralelas intersectadas por uma transversal	(EF07MA19) Verificar relações entre os ângulos formados por retas paralelas cortadas por uma transversal, com e sem uso de softwares de geometria dinâmica.		X		X	"Identificar padrões nas relações entre ângulos e desenvolver passos lógicos para verificar relações angulares
"
Matemáticas	7° ANO	Geometria	Triângulos: construção, condição de existência e soma das medidas dos ângulos internos	(EF07MA20) Construir triângulos, usando régua e compasso, reconhecer a condição de existência do triângulo quanto à medida dos lados e verificar que a soma das medidas dos ângulos internos de um triângulo é 180°.	X			X	Dividir a construção em etapas menores e desenvolver passos lógicos para construir e verificar triângulos.
Matemáticas	7° ANO	Geometria	Triângulos: construção, condição de existência e soma das medidas dos ângulos internos	(EF07MA21) Reconhecer a rigidez geométrica dos triângulos e suas aplicações, como na construção de estruturas arquitetônicas (telhados, estruturas metálicas e outras) ou nas artes plásticas.		X	X		Generalizar a noção de rigidez geométrica e identificar padrões na aplicação de triângulos em diferentes contextos.
Matemáticas	7° ANO	Geometria	 Ângulos internos e externos de polígonos regulares	(EF07MA22) Calcular medidas de ângulos internos de polígonos regulares, sem o uso de fórmulas, e estabelecer relações entre ângulos internos e externos de polígonos, preferencialmente vinculadas à construção de mosaicos e de ladrilhamentos, à confecção de ferramentas e peças mecânicas, entre outras.		X		X	Desenvolver passos lógicos para calcular ângulos e identificar padrões nas medidas de ângulos internos e externos.
Matemáticas	7° ANO	Grandezas e medidas	Problemas envolvendo medições	(EF07MA23) Resolver e elaborar problemas que envolvam medidas de grandezas inseridos em contextos oriundos de situações cotidianas ou de outras áreas do conhecimento, reconhecendo que toda medida empírica é aproximada.	X		X		Dividir o problema em partes menores para resolver problemas de medidas e generalizar a noção de medidas aproximadas.
Matemáticas	7° ANO	Grandezas e medidas	Cálculo de volume de blocos retangulares, utilizando unidades de medida convencionais mais usuais	(EF07MA24) Resolver e elaborar problemas de cálculo de medida do volume de blocos retangulares, envolvendo as unidades usuais (metro cúbico, decímetro cúbico e centímetro cúbico).	X			X	Dividir o problema em etapas menores para resolver cálculos de volume e desenvolver passos lógicos para calcular volumes.
Matemáticas	7° ANO	Grandezas e medidas	Equivalência de área de figuras planas: cálculo de áreas de figuras que podem ser decompostas por outras, cujas áreas podem ser facilmente determinadas como triângulos e quadriláteros 	(EF07MA25) Estabelecer expressões de cálculo de área de triângulos e de quadriláteros.	X			X	Dividir o problema em partes menores para calcular áreas de figuras e desenvolver passos lógicos para calcular áreas.
Matemáticas	7° ANO	Grandezas e medidas	Equivalência de área de figuras planas: cálculo de áreas de figuras que podem ser decompostas por outras, cujas áreas podem ser facilmente determinadas como triângulos e quadriláteros 	(EF07MA26) Resolver e elaborar problemas de cálculo de medida de área de figuras planas que podem ser decompostas por quadrados, retângulos e/ou triângulos, utilizando a equivalência entre áreas.	X			X	Decompor o problema em etapas menores para calcular áreas de figuras planas e desenvolver passos lógicos para utilizar a equivalência entre áreas.
Matemáticas	7° ANO	Grandezas e medidas	Medida do comprimento da circunferência	(EF07MA27) Estabelecer o número como a razão entre a medida de uma circunferência e seu diâmetro, para compreender e resolver problemas, inclusive os de natureza histórica.			X	X	Generalizar a noção de π e sua aplicação e desenvolver passos lógicos para calcular circunferências utilizando π.
Matemáticas	7° ANO	Probabilidade e estatística	Experimentos aleatórios: espaço amostral e estimativa de probabilidade por meio de frequência de ocorrências	(EF07MA28) Planejar e realizar experimentos aleatórios ou simulações que envolvem cálculo de probabilidades ou estimativas por meio de frequência de ocorrências.			X	X	Generalizar conceitos de probabilidade e desenvolver passos lógicos para planejar e realizar experimentos.
Matemáticas	7° ANO	Probabilidade e estatística	Estatística: média e amplitude de um conjunto de dados	(EF07MA29) Compreender, em contextos significativos, o significado de média estatística como indicador da tendência de uma pesquisa, calcular seu valor e relacioná-lo, intuitivamente, com a amplitude do conjunto de dados.	X	X			Decompor o cálculo da média em etapas menores e identificar padrões na interpretação de dados estatísticos.
Matemáticas	7° ANO	Probabilidade e estatística	Pesquisa amostral e pesquisa censitária Planejamento de pesquisa, coleta e organização dos dados, construção de tabelas e gráficos e interpretação das informações 	(EF07MA30) Planejar e realizar pesquisa envolvendo tema da realidade social, identificando a necessidade de ser censitária ou de usar amostra, e interpretar os dados para comunicá-los por meio de relatório escrito, tabelas e gráficos, com o apoio de planilhas eletrônicas.			X	X	Generalizar a noção de pesquisa estatística e desenvolver passos lógicos para planejar e realizar pesquisas, interpretar e comunicar dados.
Matemáticas	7° ANO	Probabilidade e estatística	 Gráficos de setores: interpretação, pertinência e construção para representar conjunto de dados	(EF07MA31) Interpretar e analisar dados apresentados em gráfico de setores divulgados pela mídia e compreender quando é possível ou conveniente sua utilização.		X		X	Identificar padrões na interpretação de gráficos e  desenvolver passos lógicos para analisar dados em gráficos de setores.
Matemáticas	8° ANO	Números	Notação científica	(EF08MA01) Efetuar cálculos com potências de expoentes inteiros e aplicar esse conhecimento na representação de números em notação científica.	X	X	X	X	Quebrar cálculos complexos em operações menores utilizando potências. Criar passos para converter números grandes ou pequenos para notação científica.
Matemáticas	8° ANO	Números	Potenciação e radiciação 	(EF08MA02) Resolver e elaborar problemas usando a relação entre potenciação e radiciação, para representar uma raiz como potência de expoente fracionário.			X	X	Generalizar a relação entre raízes e potências fracionárias. Desenvolver passos lógicos para converter raízes em potências.
Matemáticas	8° ANO	Números	O princípio multiplicativo da contagem	(EF08MA03) Resolver e elaborar problemas de contagem cuja resolução envolva a aplicação do princípio multiplicativo.	X			X	Dividir problemas de contagem em etapas menores. Criar uma sequência de passos para aplicar o princípio multiplicativo
Matemáticas	8° ANO	Números	Porcentagens	(EF08MA04) Resolver e elaborar problemas, envolvendo cálculo de porcentagens, incluindo o uso de tecnologias digitais.	X			X	Dividir problemas de porcentagem em cálculos menores. Criar passos para resolver problemas de porcentagem com e sem tecnologias digitais.
Matemáticas	8° ANO	Números	 Dízimas periódicas: fração geratriz	(EF08MA05) Reconhecer e utilizar procedimentos para a obtenção de uma fração geratriz para uma dízima periódica.			X	X	Generalizar a relação entre dízimas periódicas e frações geratrizes. Desenvolver passos para converter dízimas em frações geratrizes.
Matemáticas	8° ANO	Algebra	Valor numérico de expressões algébricas	(EF08MA06) Resolver e elaborar problemas que envolvam cálculo do valor numérico de expressões algébricas, utilizando as proppiedades das operações.	X			X	Dividir expressões algébricas em operações menores. Criar passos para calcular valores numéricos de expressões algébricas.
Matemáticas	8° ANO	Algebra	Associação de uma equação linear de 1º grau a uma reta no plano cartesiano	(EF08MA07) Associar uma equação linear de 1º grau com duas incógnitas a uma reta no plano cartesiano			X	X	Generalizar a relação entre equações lineares e retas no plano cartesiano. Criar uma sequência de passos para plotar equações lineares no plano cartesiano.
